src_ip,dst_ip,src_port,dst_port,protocol,packet_size
461,306,51321,443,6,315
306,461,443,51321,6,54
306,461,443,51321,6,89
306,461,443,51321,6,54
461,306,51321,443,6,54
306,461,443,51321,6,148
461,306,51321,443,6,54
363,475,0,0,17,152
461,319,51344,443,6,93
461,319,51344,443,6,78
461,319,51344,443,6,54
319,461,443,51344,6,54
319,461,443,51344,6,78
319,461,443,51344,6,54
461,319,51344,443,6,54
461,306,51321,443,6,167
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,546
306,461,443,51321,6,54
306,461,443,51321,6,54
